# walkers = all; burn = 0; skip = 450
4.933036238402961349e-01 1.998236718511934296e-01 -5.576222598547453391e-01 -6.149959765624013475e-01 -1.241404952533768924e-01 -2.656413640425855149e+00 -7.355540231158309572e-01 8.031542157036678509e-01 2.519881192973466577e-01
4.557061332954601696e-01 2.945142981199653232e-01 -3.262319470966751900e-01 -6.799655177868255684e-01 -1.434045036099611536e-01 -2.285585326570368725e+00 -7.223700904368157705e-01 7.738679693642722679e-01 2.673317211386045944e-01
1.204007995389081875e+00 -2.841080147245609311e-01 4.688737509562015404e-01 -1.032903340889933963e+00 -6.068234762855029274e-02 -1.684769451709619226e+00 -3.373926145770284046e-01 2.242377942177468664e-01 3.260559116103538546e-01
1.200004377478142370e+00 2.084151850657967042e-01 5.030539679745864579e-01 -1.219402756967797874e+00 -2.791981471464337616e-01 -3.903180191909352281e-01 -1.400375953702376330e-01 -5.471994514196742987e-02 3.570002128847972189e-01
1.124564450574008001e+00 2.712637180922083946e-01 7.631989447566240869e-01 -1.296577576318777680e+00 -4.052590282850383474e-01 -9.900994915057581558e-02 -2.522306480389657768e-02 -2.024851611638996962e-01 3.497577538896861626e-01
1.037248741683028497e+00 3.679126177481943927e-01 7.345932687848006903e-01 -1.921562594467501883e+00 8.270793332897885541e-02 -3.585673867948279137e-01 -1.311453244742112334e-01 -5.131358324735918464e-02 3.343216574091150139e-01
1.376989216280915862e+00 -7.361852914012478877e-03 7.859573401438713081e-01 -1.650102494604611891e+00 -2.594316570152930268e-01 -3.834099352181088438e-01 -3.266892174431875184e-01 1.220286895601555566e-01 4.624290526632078846e-01
1.405944702156177062e+00 1.211750023445952174e-01 1.109121614144704893e+00 -1.787114971879153247e+00 -6.406686394481786451e-01 -9.834075535931219303e-01 -2.461477140927091356e-01 3.157201239121054659e-02 4.392131809730008829e-01
1.483134721505789511e+00 2.182299263322144967e-01 1.150383365941958669e+00 -1.955971339742991644e+00 -5.966391547693473685e-01 -1.124341611543684838e+00 -2.116285142498763872e-01 -5.943429107001155405e-03 4.274525461358710809e-01
5.610390808603729074e-01 3.053824345994672340e-01 1.717953213317775507e+00 -2.099360740782421075e-01 -1.290255660342168431e+00 -1.851574093577665669e+00 -1.734144897370046290e-01 -6.402374725610397721e-02 4.397044641063998505e-01
8.649651383952146055e-01 6.486839053921539255e-01 2.415552989540340256e+00 -8.592185679825359301e-01 -9.213929625968217962e-01 -1.209005056493308583e+00 -3.316371074161941213e-01 -3.997807942134323778e-02 7.361550355478785335e-01
1.050024974207039552e+00 -8.287667509560669998e-03 1.226541907452078473e+00 -1.096915145389437463e+00 -3.076419972724506735e-01 -1.079875663567484212e+00 -3.866459816567105467e-01 -4.375288232006391276e-03 7.974576182975263716e-01
1.763628736397370611e+00 -5.183245910154677949e-01 2.365866271066322746e+00 -1.049428096835829383e+00 -5.897784480886190117e-01 -1.126150427187956327e-01 -4.156442850571783754e-01 8.903510407218062639e-02 7.006451152390136272e-01
1.574641818165984919e+00 -7.704386003883927359e-01 1.821399564491204215e+00 -5.574737966022914604e-01 -6.712381903525175275e-01 -1.431870855816483878e-01 -3.273923692114193429e-01 1.210874116582356663e-01 4.652793582268789363e-01
3.069652559967063432e+00 -9.882126997392288725e-01 4.337923917392688011e+00 -8.851369528957384603e-01 -4.931152313751415717e-01 -1.054643202804219637e-01 -3.732593342720394447e-01 1.994472953231474777e-01 4.358716848875908156e-01
1.309117579282248034e+00 -6.125145105391689437e-01 2.132847238571571769e+00 -5.503664265096508412e-01 -7.453750696774703588e-01 4.081406958278624986e-01 -4.145407901921687177e-01 2.410796268634473050e-01 4.531010994822640137e-01
1.095488757881824204e+00 -1.044541982503141009e-01 2.426373070507591656e+00 -7.036446144608710096e-01 -1.041267686621450972e+00 6.959699057739217043e-01 -4.583124651715844156e-01 2.243259931677069607e-01 5.687128549620472651e-01
1.963455697443941883e+00 -5.106274717057148749e-01 2.739109387276037477e+00 -9.906058110391033900e-01 -1.110331852874251402e+00 1.059758944148896820e+00 -4.191158556976742888e-01 1.930854752071403946e-01 5.378397756584307743e-01
1.433969691526356671e+00 9.471984116637743867e-02 3.113955223734897082e+00 -1.245124618064665789e+00 -1.605884341646242497e+00 1.128088817658882359e+00 -1.798206077858891250e-01 -8.645845546768882173e-02 4.880526149735918695e-01
1.327371001009018503e+00 1.279935303609192054e-02 2.813653598389226573e+00 -1.078811709558805454e+00 -1.549674430433279015e+00 7.461605565538776963e-01 -2.356354648528707629e-01 -2.262279090895581712e-02 5.025302163229022900e-01
1.323574592924012361e+00 -3.192320577204815768e-02 3.579318951091786438e+00 -1.031913476959511300e+00 -1.826931718085760270e+00 1.040974955962006732e+00 -2.522997398420688819e-01 -2.289798166629930520e-02 5.385793664249557411e-01
1.411979126420979114e+00 6.733824590691661616e-02 3.914039986801443050e+00 -1.249325003166956494e+00 -1.686626472847349678e+00 1.273057384028361660e+00 -3.133758267806485698e-01 -1.107555453903330545e-02 6.483055089764760970e-01
1.133742574560098859e+00 3.496843356120927782e-01 4.059989743853954280e+00 -1.414204736725548361e+00 -1.698167341946793085e+00 1.601111576544457904e+00 -2.605348391878040681e-01 3.234968477475952398e-03 5.136062008114337107e-01
1.141279766546072327e+00 2.527551738846123275e-01 4.033710049691810795e+00 -8.732199392479604860e-01 -2.369568979069083703e+00 3.914725112628846482e+00 -5.324893406068631485e-01 3.603819527391021738e-01 5.025606034454265236e-01
1.240406836378830979e+00 1.526457479372687054e-01 3.475608882924698939e+00 -7.584144266611561047e-01 -2.127061149701398701e+00 3.135136678501403651e+00 -4.344574961234857757e-01 2.300957188131515507e-01 5.101847154916077098e-01
1.403498095487713648e+00 -1.633337328872972449e-01 1.718645395058189251e+00 -5.490069841310463161e-01 -1.836998119693904030e+00 2.140545102850905934e-01 -4.489260317081499307e-01 5.411624988739294206e-02 8.339458157366977931e-01
1.945667473573142736e-02 4.451930337209276667e-01 2.879129589528828248e-02 6.193044109315022361e-01 -2.099068800985956162e+00 6.572626781637911364e-01 -3.860524693372968663e-02 -5.483566447050587378e-01 9.328616459899579105e-01
1.034176728373326082e-01 8.924421834377346263e-01 3.389381573799354896e-02 8.068400868733178743e-01 -2.623407372461306952e+00 7.320235833303712081e-01 2.128224880043161349e-03 -6.788102226518444304e-01 1.054906049774050780e+00
5.272063444431485113e-01 9.972013335930092204e-01 5.965160707194057110e-01 1.162437477604738811e+00 -2.957393680693907179e+00 2.758998312181393242e-02 -9.957418642583815149e-03 -6.686912801228817038e-01 1.067512756089388004e+00
4.976488687260846588e-01 -2.091260290360366092e-01 2.512446056332601207e-01 8.283436511982498196e-01 -2.114850973861452488e+00 1.557911953247701486e-01 -4.317828155094524667e-02 -6.418100013199138365e-01 1.107516425451937847e+00
4.851449943393435493e-01 -4.752131664254570786e-01 -1.481234660377777068e-01 9.061474110720764141e-01 -1.960812823916715963e+00 4.571630263120907145e-02 -1.420000986637378892e-01 -4.229854717025604005e-01 9.669341596547679218e-01
3.371964411517458515e-02 -8.807470541321007484e-01 -2.040869638095425209e+00 4.919555928358789743e-01 -1.274404041560554424e+00 5.555125685344335373e-01 -1.529491987542441755e-01 -4.484104036415588190e-01 1.040101077846165900e+00
-1.493171828918358202e-01 -4.647498819059503461e-02 -2.225393722519926953e+00 7.730769483407440301e-01 -1.780180260156336347e+00 5.939338028692777716e-01 -1.674322959367910424e-01 -4.126742966044015248e-01 1.011314689065653250e+00
-6.160000726743914967e-01 -5.734836990894307540e-01 -3.466733237570139181e+00 1.160171846909711313e+00 -1.782175932246496952e+00 9.492878789787790872e-01 1.770524783572807737e-02 -7.214987761128239807e-01 1.090185541351642362e+00
-9.521330637624734194e-01 -6.255606129965758377e-01 -3.401272664594574557e+00 1.246863968327130312e+00 -1.777850094208695220e+00 1.169030292368857582e+00 2.506126922477935892e-02 -7.732682216790465191e-01 1.162530824265261220e+00
-8.714007727346777532e-01 -6.909198960979168191e-01 -3.241096831130545475e+00 1.148319691025663891e+00 -1.710861229669403016e+00 1.077917116156545729e+00 1.732645770745006031e-02 -7.604847115979281869e-01 1.159919867213882627e+00
-1.310131500496303225e+00 -2.908557916311409475e-01 -2.773673990033984182e+00 1.147357435420782057e+00 -1.645477757601054192e+00 8.960545691553145620e-01 -2.637113257941972044e-01 -2.402766112509653329e-01 9.360795193322973828e-01
-1.596726394669258475e+00 4.876882786509190160e-02 -4.050021811231411917e+00 5.584304359892828806e-01 -1.272898009845272682e+00 -4.949690778284645543e-01 -7.288159550342518944e-01 8.113189615366334095e-04 1.694040523458296255e+00
-4.033380269771824622e-01 -3.295590483543486826e-01 -2.886785918551387553e+00 1.228376023779862436e-01 -8.105433804791459806e-01 -1.047444525854095421e-01 -7.774348255433887189e-01 1.041484738790578457e-01 1.564886859420437482e+00
2.520364086553117389e-02 -8.944028277274629346e-02 -1.799290294667192480e+00 1.403583376047072839e-01 -1.037972927361768383e+00 -5.668527893997750144e-01 -9.205053108256007199e-01 2.087370610529978299e-01 1.716539855183424557e+00
1.998127443248856883e-01 -6.011191628334586756e-01 -2.263826741071284676e+00 -1.588375155223883395e-01 -4.958957426195838014e-01 -1.063415511701675698e+00 -1.031270797199778544e+00 2.849863691157359935e-01 1.845782790270370066e+00
-4.657718896788927143e-01 -1.219212271367922096e-01 -1.618888955789457018e+00 1.762102167464343339e-01 -8.161759235449488337e-01 -1.083996532734256224e+00 -1.252173259102896230e+00 5.581324751218182945e-01 1.707741996149330532e+00
-2.831869212142266168e-01 4.799201565427467786e-01 -6.636367634851597641e-01 3.078056363427199571e-01 -1.290815831355929699e+00 -7.308047751637982703e-01 -1.285478545970329733e+00 5.663656784165898017e-01 1.774527403228790767e+00
-3.059290304623374368e-02 2.450744387149647041e-01 -2.924431729807603908e-01 1.670707948638722184e-01 -1.093397478543613577e+00 -8.013719314358844770e-01 -1.287069915978311885e+00 5.678388875334468011e-01 1.773215987489048073e+00
-1.128896698563864209e+00 7.735538769134548964e-01 1.511406904872888202e+00 3.375331406584578531e-01 -9.391650563244495764e-01 -7.345290141716989130e-01 -1.873344638776196724e+00 8.502270903641656608e-01 2.549195357861187894e+00
-8.008413002726286756e-01 8.738054561838948242e-01 1.537830013107722715e+00 2.757754647702805872e-01 -9.791812292327040090e-01 -4.193210582237766326e-01 -1.945454631558934278e+00 8.788552930078963321e-01 2.656679353206083949e+00
-8.127951904450694265e-01 9.632362033976091809e-01 1.527087702280662818e+00 2.117838915649370435e-01 -9.500593423793233239e-01 -4.168312340118927040e-01 -1.896244146127846308e+00 8.609949817131317129e-01 2.581796719432531972e+00
-6.686712551592817189e-01 1.018742554651731025e+00 1.622699385531521266e+00 2.400567041995066431e-01 -1.015312872846445114e+00 -9.636377983529573754e-01 -1.823653092816008181e+00 8.115915933779127567e-01 2.555370490313840115e+00
-1.053600404413050917e+00 9.277036428019523884e-01 1.310999748368400608e+00 5.145905028875328302e-01 -1.132174824875884500e+00 -1.469537113081146984e+00 -1.962099410564016821e+00 8.748141442788543998e-01 2.747270378992965778e+00
-1.025325198168457685e+00 9.326984972662701878e-01 1.313824983367007482e+00 5.154866945280598411e-01 -1.136519425691813190e+00 -1.510198770190103623e+00 -1.948320649719090802e+00 8.668285642531612378e-01 2.736876884972214263e+00
-1.019043356900638075e+00 7.593199768489964363e-01 1.071958039444191213e+00 4.826266258510333862e-01 -1.061483187909790349e+00 -1.111472671870722406e+00 -1.860004392777769411e+00 8.379906153990335227e-01 2.561712167634718540e+00
-6.823456141538786213e-01 8.222297888509655373e-01 1.310225545049945595e+00 5.411417513448166794e-01 -1.303770284245234334e+00 -1.020799123234231942e+00 -1.877385608054756405e+00 8.446931970922343380e-01 2.591806897700874579e+00
-1.251251674471831610e+00 2.000621019737504724e+00 1.912380231491974225e+00 1.194264274754178068e+00 -1.642418245503554752e+00 -3.226360379782794663e+00 -1.521761558968776740e+00 6.201657698421410014e-01 2.344487176963969688e+00
-1.976722075728478689e+00 1.985542351838710307e+00 1.490989659140999457e+00 1.719547357459926706e+00 -1.551241673635264107e+00 -4.519653608874643069e+00 -1.379558781453773531e+00 5.252667980808511938e-01 2.242292220835319760e+00
-1.458423084551045967e+00 1.015847577735041973e+00 1.213313601884060455e+00 1.831022340902302536e+00 -1.689671911588715769e+00 -4.067208859216460581e+00 -1.266832538517049134e+00 4.232795237093485152e-01 2.223433445384137119e+00
-7.792531485732567820e-01 -7.916728270093342790e-02 3.756309944590876526e-01 1.913747656462178037e+00 -1.694761689609593169e+00 -2.888030801833027184e+00 -1.177800711675439427e+00 3.445613968820757655e-01 2.185865993397549278e+00
-1.616944256487511833e+00 8.423506577287568353e-01 -6.434656423751943244e-01 1.578891185713567680e+00 -1.844090269424644823e+00 -2.455758528844723010e+00 -1.174840633537806767e+00 3.661960292603154699e-01 2.085018647773301925e+00
-2.014500795148455481e+00 1.828466326237559780e+00 -1.182605404154249529e+00 1.028178732381075600e+00 -1.566401190606558469e+00 -3.896180024863064695e+00 -1.216015652390441959e+00 4.100524694532212688e-01 2.061634407242212141e+00
-1.571189062761503719e+00 8.843018208977948547e-02 -7.881418553022885298e-01 1.694601619723046237e+00 -1.678661172032513971e+00 -2.313989143347763289e+00 -1.184628795747385555e+00 3.483142923804413149e-01 2.190363262337171602e+00
-2.285849084778489804e+00 1.483856027983464276e+00 -1.125409318481576548e+00 1.513642402323891023e+00 -1.649530461416448324e+00 -3.063803860379386013e+00 -1.237176177776060149e+00 4.172101590101272017e-01 2.123360976900295238e+00
-2.955023921473195703e+00 2.488876233785297654e+00 -1.303435561236617524e+00 1.458903875396106997e+00 -1.533853642941608975e+00 -3.857527639358004912e+00 -1.255135409315078387e+00 4.138189473708535071e-01 2.203487305088521531e+00
-2.928393468268724043e+00 2.470390382110358551e+00 -1.281572276734434190e+00 1.453886477164854973e+00 -1.552299687528627903e+00 -3.793726281564985925e+00 -1.248588307112159290e+00 4.093707346196536201e-01 2.196937233239492748e+00
-1.263104333207669683e+00 -1.518872303231271204e-01 -1.132399219065030493e+00 1.776417874478206427e+00 -1.802301393309512445e+00 -2.475049114884964929e+00 -9.629105327908881184e-01 2.372271870690532136e-01 1.791714243471814960e+00
-4.593899706816557682e+00 9.205173603122600579e-01 -9.330406637063194397e-01 1.195485495972703704e+00 -1.289023170277165953e+00 -6.051591165769286462e+00 -1.108079326123724950e+00 3.736706497502262359e-01 1.835907085215042756e+00
-1.392292089997391180e+00 -4.562468724754231708e-02 1.259859534625604738e-01 1.444072925295080356e+00 -1.823046702936623520e+00 -2.353760214076279667e+00 -9.222566747777185547e-01 3.617155674032119794e-01 1.349733940841792545e+00
-2.398601794295402989e-01 -5.476526591858487114e-01 1.237320871494022034e-01 2.223629172782747521e+00 -1.992724838732801818e+00 -6.718510269600899143e-01 -8.573525585109191827e-01 2.051470047449209799e-01 1.557710225480781752e+00
1.094842018824510710e+00 2.647560167197943182e-01 -2.316616044490181991e+00 -3.957096564062058675e-01 -2.378119338741664368e+00 1.565776528227112108e+00 -5.597695900426700177e-01 5.004170335144707549e-01 3.465647612543943379e-01
1.272958956216464710e+00 2.589418102280616196e-02 -1.781637371727228913e+00 -1.944327548502050307e-01 -2.669467584824214423e+00 1.586174162299761381e+00 -6.333021098266224946e-01 6.672524871884339959e-01 2.487882287300317019e-01
7.928088313222725336e-01 8.719929555148029365e-01 -1.822132011112453043e+00 -4.950264472161148843e-01 -2.762981654313890534e+00 -3.184106477422170567e-01 -6.507506253901563786e-01 6.558707507919960822e-01 2.962129860082972077e-01
1.158613304905033559e+00 1.071075138030289642e-01 -2.523901683055896350e-01 -6.398782052170257639e-01 -2.595944502345564509e+00 -8.524865585965950565e-01 -7.497063241927724997e-01 7.121872132628315200e-01 3.984640113395918060e-01
-9.851834803413834774e-01 9.442258744941773863e-01 -1.743851098229511010e+00 3.796639688368037557e-01 -1.150912446653854726e+00 -5.351247967945766959e-01 -1.411255195755714009e+00 1.423947918826445669e+00 5.956742405653858707e-01
-1.614374831921639775e+00 6.453540936831920760e-01 -7.848243492578876879e-01 6.649964519946722774e-01 -1.346905984458323324e+00 -3.776662898515619204e-01 -1.357265153635199395e+00 1.478238746773549162e+00 4.687292444061714747e-01
-1.895910724776880496e+00 6.735235603305786967e-01 -1.068316572240455953e+00 7.896733065657141060e-01 -1.364359074942368188e+00 -7.293158454431036830e-02 -1.496568990405288568e+00 1.626040692858026437e+00 5.177217297685298147e-01
-1.525848519097910749e+00 1.198465012011742825e+00 -1.710131120555482109e+00 4.119468235244139187e-01 -1.143346927060748586e+00 -1.592446469903967543e-01 -1.707362268205415035e+00 1.691989522085068032e+00 7.170455123540813158e-01
