# walkers = all; burn = 0; skip = 300
-2.307365225358692040e+00 2.774347624954314195e-01 -4.238389558883022268e-01 -3.622641499614462357e-02 -5.544525157118600944e+00 -1.519126102879091889e+00 1.267503372600131640e-03 -6.772262670293021638e-04 -1.569759583914859388e-03
-2.270017513963615841e+00 8.978806185800141115e-01 -1.458946244452348218e-01 8.084905363574179660e-02 -5.779087918185653372e+00 -1.406001523951743604e+00 1.144389294295166792e-03 -4.398170240027066222e-04 -1.688996370783133047e-03
-1.920520355521144085e+00 5.338050946909780325e-01 -2.156530447927114125e-01 6.038496896862144414e-02 -5.659909564351209177e+00 -3.022369583713033769e+00 1.927523670256641201e-03 -2.069137896804516472e-03 -7.685661123891182351e-04
-1.725638338000956784e+00 6.992458962583649740e-01 -7.856480838039856529e-01 -2.988645063826091963e-01 -5.980448598073444089e+00 -3.469570532895184911e+00 2.315798381784790402e-03 -2.843735773272879769e-03 -3.720297903144265984e-04
-1.593850449429808247e+00 4.326034397168028178e-01 -6.957633963980307534e-01 -1.082640204664701677e+00 -6.039689323632753570e+00 -3.234606370632313599e+00 2.369909638033537366e-03 -2.963910236679442693e-03 -3.008300736266917436e-04
-1.478719097798875115e+00 8.116313197034230598e-01 -3.411347199427598453e-01 -1.743537584333063606e+00 -4.849696249578872909e+00 -3.742295038904863258e+00 2.633557421314225173e-03 -3.649669261580628168e-03 1.968117538047308172e-04
-1.498105847758576026e+00 8.792227403437866684e-01 4.866611167235364022e-01 -1.532628872345453086e+00 -4.899157760342784940e+00 -3.473012079668333030e+00 2.595439795013228593e-03 -3.577087497219760218e-03 1.637350394932618816e-04
-1.519473569842396898e+00 1.034575346258202577e+00 3.880912527649629240e-01 -1.543436803580380490e+00 -4.933288144185624446e+00 -3.713081030293484019e+00 2.665496181096722525e-03 -3.717079629080531026e-03 2.380515495028716463e-04
-1.577422607989645176e+00 1.374285511664326886e+00 6.253573319153999943e-01 -1.511457700772769197e+00 -5.113290389919315615e+00 -4.048043908164105531e+00 2.666945139016314512e-03 -3.696555173449923501e-03 2.073012365583410711e-04
-1.565589077150970176e+00 1.344566879847525875e+00 7.649311446231430445e-01 -1.557641905160126683e+00 -5.140038800064756330e+00 -4.011013824521016957e+00 2.685848285253040167e-03 -3.735182864814585481e-03 2.279766109792712592e-04
-1.603241520377397311e+00 1.464200894580357737e+00 1.010205031270270837e+00 -1.605288342777114297e+00 -5.278198093434999905e+00 -4.046121875296391224e+00 2.719911804654097463e-03 -3.776427867058691941e-03 2.262507381551228519e-04
-1.606168309118419568e+00 1.470686231568729019e+00 1.008421565987062785e+00 -1.593220809516695979e+00 -5.282816866967801062e+00 -4.033074191159538024e+00 2.715051844318740800e-03 -3.764976787130876277e-03 2.187797996691344046e-04
-1.603344713117012876e+00 1.361536979216385168e+00 9.466876553571506037e-01 -1.590965242275367508e+00 -5.281749753451487450e+00 -3.931992765265506229e+00 2.669977921854711084e-03 -3.672058610994675173e-03 1.672792870095487182e-04
-1.712359877591308033e+00 1.029766242242780017e-01 3.412611897914175074e-01 -1.663813511043829019e+00 -4.608699919532300626e+00 -3.582390809985864344e+00 2.354292826259811889e-03 -3.048446529680080841e-03 -1.424051723687763324e-04
-1.454875435922880600e+00 -4.764415825974502305e-01 2.611496397639432310e-01 -1.401844784886135731e+00 -4.443890894495866384e+00 -1.896465902767731748e+00 2.251383069714613452e-03 -2.878472762167369990e-03 -2.054875792247752055e-04
-1.103315278362610119e+00 -7.097077526273554149e-01 2.134515464557712683e+00 -2.121320440752396674e+00 -4.096059735216271314e+00 -2.524737552789793504e+00 2.690020752499818098e-03 -3.860398929081241323e-03 3.961224923301055029e-04
-1.299249026825780362e+00 9.739137745359505161e-03 2.400463639417608874e+00 -2.322673305683253808e+00 -4.274354649333808709e+00 -3.940677868622463720e+00 2.683485244704662560e-03 -3.815304602356718155e-03 3.433708052590109076e-04
-1.393051633674625478e+00 -8.549915569017185746e-02 1.362856289778971330e+00 -1.485548843125406915e+00 -5.098226962331237289e+00 -3.734517742725418810e+00 1.806224811570955558e-03 -1.895169704948299755e-03 -8.164594466301298634e-04
-1.482439060766167938e+00 8.516074998817568797e-03 2.853625817790395036e-01 -1.148010073420437260e+00 -5.316020383213690081e+00 -2.213937679564736527e+00 1.521610669473282863e-03 -1.294686801491220368e-03 -1.162402017333808747e-03
-1.891231664354412700e+00 2.531870575047592276e-01 1.184154496154080860e+00 2.197678464063086423e-01 -5.519493691286104564e+00 -2.931595147092705744e+00 9.016436634467347652e-04 9.369438412037999538e-05 -2.025376561200441759e-03
-1.876834149756752446e+00 -1.512565006175298210e-02 6.608743295835526332e-01 4.401806540698594006e-01 -5.369505543141816162e+00 -3.115919163091145805e+00 4.694546336411698157e-04 9.471407076656885964e-04 -2.462767199229855958e-03
-1.921693173452136527e+00 -1.227449394803423743e-01 1.620123744985053182e+00 -1.533986850119304357e-01 -4.852881503591114587e+00 -1.182712169728851626e+00 1.237677401993558411e-03 -6.745537704515671730e-04 -1.527200289643739156e-03
-2.024662455962178420e+00 7.937838824712082353e-01 3.094790080736748994e+00 1.037760866929851034e-01 -4.972491262799067613e+00 -6.408836204339157794e-01 2.030657975500502373e-03 -2.272677706389680113e-03 -6.692696223308876747e-04
-1.655684087530361337e+00 4.681569086141621483e-01 1.979003337188703249e+00 5.680020126413620751e-01 -4.926274564368585906e+00 -7.855961856579775082e-01 1.965439779118300073e-03 -2.194613629951401145e-03 -6.647598012504298383e-04
-2.080538005484717790e+00 1.087987072445062209e+00 1.702600429926234504e+00 6.223165869742830481e-01 -4.941344391765325916e+00 -1.302265560214889373e+00 1.758217745335735474e-03 -1.724585388086305546e-03 -9.558820576509681130e-04
-1.484334174425106401e+00 5.655667045099770363e-01 1.564493809642935496e+00 7.535597690339486121e-01 -4.612947058724299332e+00 -1.686679183834656426e+00 2.290398909437136622e-03 -2.988556597729453024e-03 -1.072784401421126828e-04
-1.488484999896118044e+00 1.017192181259378714e+00 1.252510663114905887e+00 1.158751050879784028e+00 -4.635486108333149780e+00 -1.432970043317304487e+00 2.305045910513533417e-03 -3.015880268449934454e-03 -9.185685733758349077e-05
-1.493549986574429500e+00 1.012409591515173179e+00 1.292284358483870133e+00 1.188968691556016921e+00 -4.621235981083295030e+00 -1.361282451596048659e+00 2.296154724281063413e-03 -2.995701978084783224e-03 -1.039688944393148140e-04
-1.500264385752203999e+00 1.070514018592965133e+00 1.333235966822726493e+00 1.188759424911641993e+00 -4.668132000852725838e+00 -1.425510765265114888e+00 2.328223683795073006e-03 -3.062412846746994169e-03 -6.600122124275978330e-05
-1.407482549655433957e+00 9.837433530708841189e-01 1.417725880098132496e+00 8.053107434492297045e-01 -4.733921975086391676e+00 -1.811296816348616945e+00 2.620715247056688065e-03 -3.698756151351252804e-03 3.063289354463258948e-04
-1.372526137170790417e+00 5.004619132049387131e-01 1.383017907202780616e+00 6.295124906427804756e-01 -4.669979367430233452e+00 -1.518850634108065423e+00 2.332050503082964618e-03 -3.102154381208307304e-03 -2.719733294754785903e-05
-1.368953177573217550e+00 5.267362824130048526e-01 1.448234494980916054e+00 6.387779480425067602e-01 -4.662706125861988404e+00 -1.550297912808539014e+00 2.341020270709430647e-03 -3.125551914923137102e-03 -1.017713318265120806e-05
-1.354404671437179797e+00 7.135681376734330783e-01 2.301777270104891304e+00 7.626503018364830799e-01 -4.692043920232265464e+00 -2.035466937169075230e+00 2.340345810927925256e-03 -3.133064441404747463e-03 1.600370176988927251e-06
-1.349439631631049075e+00 6.448687160773092231e-01 2.225804774460532265e+00 7.278062633948273463e-01 -4.671271100927611997e+00 -2.011357837560480810e+00 2.309128348732229427e-03 -3.071799169207028220e-03 -3.008824000972536508e-05
-1.348871787108674614e+00 6.394647386795382360e-01 2.223379282251965350e+00 7.242290146077605684e-01 -4.667965457647906824e+00 -2.008901287442440342e+00 2.308617910029710230e-03 -3.071395174775545800e-03 -2.980288254101040222e-05
-1.346090648794186162e+00 8.140238132798545134e-01 3.169995473472766001e+00 1.265416800756170357e+00 -4.853508888561824719e+00 -2.664042255281469096e+00 2.347487870989762183e-03 -3.120701002673518121e-03 -2.297267380970519860e-05
-1.342434121949934278e+00 6.430396968169738159e-01 3.009083769049134105e+00 1.081983421176238025e+00 -4.795504073031205294e+00 -2.218721975049069428e+00 2.371523176627891947e-03 -3.166418823393965694e-03 -2.455222601953745490e-06
-1.336182483084086714e+00 6.219105641134127227e-01 2.915976052897537585e+00 1.052425663062550587e+00 -4.821916624256088468e+00 -2.260810887822006343e+00 2.375574442920360199e-03 -3.175950929094153042e-03 3.232731707033869792e-06
-1.325242790926574710e+00 6.503914753504780322e-01 2.989424710655501194e+00 9.766778556519370991e-01 -4.828797787523347651e+00 -2.396353470699134736e+00 2.495344847566791091e-03 -3.433708570849430385e-03 1.551398239044844522e-04
-1.355105618190901806e+00 5.307839645380663107e-01 2.781277012701236728e+00 1.004605404830943183e+00 -4.773513080035996836e+00 -2.342854857336596819e+00 2.336918409901359711e-03 -3.098426528851930609e-03 -3.466611307424358190e-05
-1.355306843592024357e+00 5.328491987153574083e-01 2.761169237421861489e+00 1.005713351714137449e+00 -4.772630805700835310e+00 -2.335617467116337664e+00 2.331553249717165880e-03 -3.088254541646495797e-03 -3.954054152928857869e-05
-1.317597321062501159e+00 1.172143302936119458e-01 2.385684931820980736e+00 9.863475314297338592e-01 -4.620210720675790306e+00 -1.922386954003046711e+00 2.027437888207307172e-03 -2.460361848122720810e-03 -3.858456166562738987e-04
-1.235973827651858148e+00 7.093484345634326615e-02 2.677078361968884934e+00 1.102449936631366034e+00 -4.598484266555019850e+00 -2.313958692440642118e+00 2.192689388426406327e-03 -2.825238511136508868e-03 -1.595563419978010523e-04
-1.269235423537783181e+00 1.521032058204734305e-01 2.736724769721440076e+00 1.123896635852992709e+00 -4.611406837811514947e+00 -2.261176427694933544e+00 2.121911235646916239e-03 -2.673263908399634969e-03 -2.494819379476272462e-04
-1.231961597423350874e+00 1.628001060501869102e-01 2.569801430587352886e+00 1.003002152018348525e+00 -4.540805522903956337e+00 -2.166274033501581542e+00 2.262627465218184850e-03 -2.995479122600450302e-03 -4.430240278716491946e-05
-1.216283834567061017e+00 2.385230247171703510e-01 2.623184516679513134e+00 1.327199422129611062e+00 -4.618991846028227322e+00 -2.097546443239172387e+00 2.146949816771422190e-03 -2.735281423616607067e-03 -2.066881190109547475e-04
-1.216283834567061017e+00 2.385230247171703510e-01 2.623184516679513134e+00 1.327199422129611062e+00 -4.618991846028227322e+00 -2.097546443239172387e+00 2.146949816771422190e-03 -2.735281423616607067e-03 -2.066881190109547475e-04
-1.215953542506845952e+00 2.583352064096701151e-01 2.712176872445551279e+00 1.393869604223453074e+00 -4.637517185729839397e+00 -2.141631982015296476e+00 2.183284191883213057e-03 -2.807438079894912075e-03 -1.678527499611614149e-04
-1.054908301756474653e+00 -2.532971641220473913e-01 9.274706829558381216e-01 1.160396861505754273e+00 -4.445380816305698701e+00 -1.958784405004438955e+00 1.905414852900493526e-03 -2.279760400953976217e-03 -4.235091866547071801e-04
-8.298518659897259342e-01 -3.890360080183175584e-01 7.502199863368561594e-01 1.055385459610616028e+00 -4.604577995881554919e+00 -2.324761505265318107e+00 2.368836618201774959e-03 -3.274818362365903863e-03 1.492668084833279236e-04
-7.879014224289219159e-01 -4.305502157056778079e-01 8.805614817872315925e-01 1.236546203700871871e+00 -4.632811182840366193e+00 -2.015195283554610750e+00 2.396352245530403331e-03 -3.330689435216339055e-03 1.814486419460460860e-04
-1.205243855412892751e-01 -1.625103676940480746e+00 1.427508229754038460e+00 6.563336572894967746e-01 -4.563151492003501453e+00 -2.198467492168540538e+00 2.799666060627595959e-03 -4.174617759725544018e-03 6.498617284716708478e-04
-5.507927742954753514e-01 -9.652356817814858880e-01 1.120729983903075322e+00 2.078326204033436042e-01 -4.382480179090060268e+00 -1.417658636705717345e+00 2.585267966055529443e-03 -3.808339438099379252e-03 5.073099504420083578e-04
-3.869135365261024972e-01 -1.238362578634311983e+00 7.933036160441930829e-01 1.600339953423330352e-01 -4.459954629934570924e+00 -1.590291713215155944e+00 2.758738524682109988e-03 -4.152520354513392423e-03 6.867164606887809358e-04
-3.952320156838570187e-01 -1.220254858557188626e+00 9.654529923346606424e-01 2.908259851452613676e-01 -4.439102346413853262e+00 -1.650156629463218838e+00 2.844101475305602957e-03 -4.330469472321292305e-03 7.905750358023213523e-04
-4.064245935688585720e-01 -1.202915454508970861e+00 9.501574741435272475e-01 3.051301657329125172e-01 -4.453135193625366028e+00 -1.635728109190664803e+00 2.833006606823825890e-03 -4.304664084117224183e-03 7.738022883902203166e-04
-6.258302924281452517e-01 -3.783958992630389595e-01 2.693914156529274351e+00 6.071662235782726569e-01 -4.146979901613937258e+00 -2.443284584555907468e+00 3.233099572668228939e-03 -5.256072281767169146e-03 1.410192176457953934e-03
