3.1783365542e+02  1.0000000000e-04  1.0955137268e+01  1.6610000000e+02  1.6347547400e-04  5.0017040000e-02  0.0000000000e+00  0.0000000000e+00  1.4059180000e+00  
3.1783364926e+02  1.1461262965e-04  1.0954589511e+01  1.7345581388e+02  1.7938426472e-04  5.0017040000e-02  -4.1814000000e-09  1.7610000000e-09  1.4611870000e+00  
3.1783364252e+02  1.3061706032e-04  1.0954041754e+01  1.8079639091e+02  1.9610359136e-04  5.0017040000e-02  -4.5796000000e-09  1.9283000000e-09  1.5174400000e+00  
3.1783363517e+02  1.4808532038e-04  1.0953493997e+01  1.8811567898e+02  2.1365745561e-04  5.0017040000e-02  -4.9985000000e-09  2.1043000000e-09  1.5722890000e+00  
3.1783362717e+02  1.6708722151e-04  1.0952946240e+01  1.9543498778e+02  2.3202206657e-04  5.0017040000e-02  -5.4374000000e-09  2.2885000000e-09  1.6319540000e+00  
3.1783362292e+02  1.7718510850e-04  1.0952672362e+01  1.9909467962e+02  2.4151004291e-04  5.0017040000e-02  -5.7790000000e-09  2.4319000000e-09  1.6636600000e+00  
3.1783361850e+02  1.8769390311e-04  1.0952398483e+01  2.0270548169e+02  2.5126596223e-04  5.0017040000e-02  -6.0142000000e-09  2.5306000000e-09  1.6902920000e+00  
3.1783361390e+02  1.9862424503e-04  1.0952124605e+01  2.0630977156e+02  2.6124221902e-04  5.0017040000e-02  -6.2554000000e-09  2.6319000000e-09  1.7171250000e+00  
3.1783360912e+02  2.0998531511e-04  1.0951850726e+01  2.0991411106e+02  2.7143160841e-04  5.0017040000e-02  -6.5019000000e-09  2.7353000000e-09  1.7450160000e+00  
3.1783360416e+02  2.2178627241e-04  1.0951576848e+01  2.1351850336e+02  2.8183492161e-04  5.0017040000e-02  -6.7537000000e-09  2.8409000000e-09  1.7739860000e+00  
3.1783359901e+02  2.3403630295e-04  1.0951302970e+01  2.1712294918e+02  2.9245293280e-04  5.0017040000e-02  -7.0107000000e-09  2.9487000000e-09  1.8040580000e+00  
3.1783359366e+02  2.4674463077e-04  1.0951029091e+01  2.2072745036e+02  3.0328640976e-04  5.0017040000e-02  -7.2729000000e-09  3.0587000000e-09  1.8352560000e+00  
3.1783358812e+02  2.5992054507e-04  1.0950755213e+01  2.2432389292e+02  3.1434513228e-04  5.0017040000e-02  -7.5405000000e-09  3.1709000000e-09  1.8666680000e+00  
3.1783358528e+02  2.6668728772e-04  1.0950618273e+01  2.2609434591e+02  3.1998763488e-04  5.0017040000e-02  -7.7452000000e-09  3.2567000000e-09  1.8795810000e+00  
3.1783358238e+02  2.7357521911e-04  1.0950481334e+01  2.2786476656e+02  3.2568611709e-04  5.0017040000e-02  -7.8839000000e-09  3.3148000000e-09  1.8927250000e+00  
3.1783357943e+02  2.8058552140e-04  1.0950344395e+01  2.2963515037e+02  3.3144067625e-04  5.0017040000e-02  -8.0240000000e-09  3.3736000000e-09  1.9061030000e+00  
3.1783357643e+02  2.8771940474e-04  1.0950207456e+01  2.3140549939e+02  3.3725143021e-04  5.0017040000e-02  -8.1654000000e-09  3.4329000000e-09  1.9197170000e+00  
3.1783357338e+02  2.9497807731e-04  1.0950070517e+01  2.3317581453e+02  3.4311849249e-04  5.0017040000e-02  -8.3082000000e-09  3.4927000000e-09  1.9335680000e+00  
3.1783357028e+02  3.0236274485e-04  1.0949933577e+01  2.3494609547e+02  3.4904197202e-04  5.0017040000e-02  -8.4524000000e-09  3.5532000000e-09  1.9476600000e+00  
3.1783356712e+02  3.0987461532e-04  1.0949796638e+01  2.3671634190e+02  3.5502197703e-04  5.0017040000e-02  -8.5980000000e-09  3.6142000000e-09  1.9619950000e+00  
3.1783356391e+02  3.1751490404e-04  1.0949659699e+01  2.3848655466e+02  3.6105861908e-04  5.0017040000e-02  -8.7450000000e-09  3.6758000000e-09  1.9765750000e+00  
3.1783356064e+02  3.2528482885e-04  1.0949522760e+01  2.4025673462e+02  3.6715200922e-04  5.0017040000e-02  -8.8934000000e-09  3.7379000000e-09  1.9914020000e+00  
3.1783355732e+02  3.3318561546e-04  1.0949385821e+01  2.4202688379e+02  3.7330226206e-04  5.0017040000e-02  -9.0432000000e-09  3.8007000000e-09  2.0064790000e+00  
3.1783355395e+02  3.4121848158e-04  1.0949248881e+01  2.4379700182e+02  3.7950948351e-04  5.0017040000e-02  -9.1944000000e-09  3.8640000000e-09  2.0218080000e+00  
3.1783355051e+02  3.4938464707e-04  1.0949111942e+01  2.4556708835e+02  3.8577377876e-04  5.0017040000e-02  -9.3469000000e-09  3.9279000000e-09  2.0373920000e+00  
3.1783354703e+02  3.5768534509e-04  1.0948975003e+01  2.4733714538e+02  3.9209526086e-04  5.0017040000e-02  -9.5009000000e-09  3.9924000000e-09  2.0532320000e+00  
3.1783354348e+02  3.6612180032e-04  1.0948838064e+01  2.4910717254e+02  3.9847403394e-04  5.0017040000e-02  -9.6563000000e-09  4.0575000000e-09  2.0693310000e+00  
3.1783353988e+02  3.7469524537e-04  1.0948701124e+01  2.5087717063e+02  4.0491020584e-04  5.0017040000e-02  -9.8131000000e-09  4.1232000000e-09  2.0856920000e+00  
3.1783353622e+02  3.8340713899e-04  1.0948564185e+01  2.5262799344e+02  4.1142976770e-04  5.0017040000e-02  -9.9716000000e-09  4.1896000000e-09  2.0991940000e+00  
3.1783353437e+02  3.8781554871e-04  1.0948495716e+01  2.5350133942e+02  4.1471432798e-04  5.0017040000e-02  -1.0092000000e-08  4.2399000000e-09  2.1056910000e+00  
