# T1bar = 170 K, He mass abu = 0.238, H mass abu = 0.762, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
4.5825449033e+000  2.3886000000e+004  5.8532560716e+003  1.1754463076e+003  5.29696754e-002   
4.6124810365e+000  2.3991209167e+004  5.9285041874e+003  1.1837095884e+003  5.29696754e-002   
5.1752888430e+000  2.5675153973e+004  7.4068222662e+003  1.3377031649e+003  5.29696754e-002   
5.5674438227e+000  2.6801000000e+004  8.5180884457e+003  1.4432523993e+003  5.29696754e-002   
5.8067695882e+000  2.7486882292e+004  9.2295572748e+003  1.5070627800e+003  5.29696754e-002   
6.5153026379e+000  2.9412072811e+004  1.1457276766e+004  1.6927789777e+003  5.29696754e-002   
6.7711043355e+000  3.0071000000e+004  1.2310872097e+004  1.7587113648e+003  5.29696754e-002   
7.3102897951e+000  3.1895735601e+004  1.4272618532e+004  1.9114532820e+003  5.29696754e-002   
7.8617626858e+000  3.3740000000e+004  1.6404835520e+004  2.0649536522e+003  5.29696754e-002   
8.2022800564e+000  3.4869468605e+004  1.7783078923e+004  2.1583092155e+003  5.29696754e-002   
9.1067223538e+000  3.7857000000e+004  2.1667373854e+004  2.4010633214e+003  5.29696754e-002   
9.2031095906e+000  3.8174347219e+004  2.2099906569e+004  2.4264893492e+003  5.29696754e-002   
1.0326058798e+001  4.1842399859e+004  2.7394888512e+004  2.7162233150e+003  5.29696754e-002   
1.0588324088e+001  4.2477000000e+004  2.8687785178e+004  2.7826090811e+003  5.29696754e-002   
1.1586028531e+001  4.4792994016e+004  3.3829085384e+004  3.0313338888e+003  5.29696754e-002   
1.2937313972e+001  4.7660000000e+004  4.1338876795e+004  3.3594694234e+003  5.29696754e-002   
1.2999737824e+001  4.7799274730e+004  4.1705188763e+004  3.3748793815e+003  5.29696754e-002   
1.4585945740e+001  5.1259622870e+004  5.1452319741e+004  3.7597857121e+003  5.29696754e-002   
1.5656008930e+001  5.3475000000e+004  5.8491426549e+004  4.0126963506e+003  5.29696754e-002   
1.6365700293e+001  5.4987333288e+004  6.3405542174e+004  4.1815838952e+003  5.29696754e-002   
1.8362617747e+001  5.8820716207e+004  7.8064129276e+004  4.6460126995e+003  5.29696754e-002   
1.9037775812e+001  6.0000000000e+004  8.3296413421e+004  4.7998349050e+003  5.29696754e-002   
2.0603195981e+001  6.2773995835e+004  9.6003485773e+004  5.1542386855e+003  5.29696754e-002   
2.3117166108e+001  6.7002321403e+004  1.1791991804e+005  5.7074591996e+003  5.29696754e-002   
2.3316848163e+001  6.7321000000e+004  1.1974240055e+005  5.7508293351e+003  5.29696754e-002   
2.5937886985e+001  7.1288151788e+004  1.4471185717e+005  6.3107211842e+003  5.29696754e-002   
2.8929249479e+001  7.5536000000e+004  1.7551779845e+005  6.9300414159e+003  5.29696754e-002   
2.9102787862e+001  7.5846452919e+004  1.7741597080e+005  6.9673362513e+003  5.29696754e-002   
3.2653865053e+001  8.2093596879e+004  2.1801050146e+005  7.7162962769e+003  5.29696754e-002   
3.4259720474e+001  8.4752000000e+004  2.3746711740e+005  8.0465300626e+003  5.29696754e-002   
3.6638239194e+001  8.8631542662e+004  2.6750906892e+005  8.5272205206e+003  5.29696754e-002   
4.1108780509e+001  9.5273250111e+004  3.2782747055e+005  9.4052659800e+003  5.29696754e-002   
