# T1bar = 170 K, He mass abu = 0.238, H mass abu = 0.762, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.6165382222e-004  1.7000000000e+002  1.0000000000e-004  2.1411705758e+000  5.29696754e-002   
1.8362617747e-004  1.7988934134e+002  1.2021550716e-004  2.2213187470e+000  5.29696754e-002   
2.0603195981e-004  1.8937530918e+002  1.4201546501e-004  2.2967714979e+000  5.29696754e-002   
2.0665889251e-004  1.8974000000e+002  1.4272261072e-004  2.2996476628e+000  5.29696754e-002   
2.3117166108e-004  1.9898665141e+002  1.6745590928e-004  2.3786021192e+000  5.29696754e-002   
2.5937886985e-004  2.0906401412e+002  1.9744142352e-004  2.4635247892e+000  5.29696754e-002   
2.7044156828e-004  2.1289000000e+002  2.0964576441e-004  2.4954568661e+000  5.29696754e-002   
2.9102787862e-004  2.1941432801e+002  2.3254670284e-004  2.5532995466e+000  5.29696754e-002   
3.2653865053e-004  2.3016408635e+002  2.7376161983e-004  2.6476760302e+000  5.29696754e-002   
3.5673065244e-004  2.3886000000e+002  3.1043348187e-004  2.7231573600e+000  5.29696754e-002   
3.6638239194e-004  2.4157173566e+002  3.2247043466e-004  2.7465804044e+000  5.29696754e-002   
4.1108780509e-004  2.5365844095e+002  3.8002500890e-004  2.8502359150e+000  5.29696754e-002   
4.6124810365e-004  2.6641404686e+002  4.4797850962e-004  2.9583448211e+000  5.29696754e-002   
4.6730741932e-004  2.6801000000e+002  4.5660131098e-004  2.9717718593e+000  5.29696754e-002   
5.1752888430e-004  2.8011645288e+002  5.2869300472e-004  3.0733386755e+000  5.29696754e-002   
5.8067695882e-004  2.9456849813e+002  6.2408154241e-004  3.1933067533e+000  5.29696754e-002   
6.0857038078e-004  3.0071000000e+002  6.6783840169e-004  3.2439716541e+000  5.29696754e-002   
6.5153026379e-004  3.0923072955e+002  7.3544128760e-004  3.3201256276e+000  5.29696754e-002   
7.3102897951e-004  3.2426546763e+002  8.6573109044e-004  3.4536531115e+000  5.29696754e-002   
8.0431543631e-004  3.3740000000e+002  9.9156456192e-004  3.5692976482e+000  5.29696754e-002   
8.2022800564e-004  3.4017986743e+002  1.0196109051e-003  3.5936857925e+000  5.29696754e-002   
9.2031095906e-004  3.5704417741e+002  1.2015008196e-003  3.7404317652e+000  5.29696754e-002   
1.0326058798e-003  3.7481499245e+002  1.4162175999e-003  3.8939495481e+000  5.29696754e-002   
1.0566492443e-003  3.7857000000e+002  1.4639685278e-003  3.9263051282e+000  5.29696754e-002   
1.1586028531e-003  3.9372946543e+002  1.6706838261e-003  4.0564431534e+000  5.29696754e-002   
1.2999737824e-003  4.1372493131e+002  1.9720564770e-003  4.2266381868e+000  5.29696754e-002   
1.3816312052e-003  4.2477000000e+002  2.1532895760e-003  4.3200774998e+000  5.29696754e-002   
1.4585945740e-003  4.3488936086e+002  2.3287743386e-003  4.4054105492e+000  5.29696754e-002   
1.6365700293e-003  4.5732990826e+002  2.7513070384e-003  4.5935683611e+000  5.29696754e-002   
1.7974502305e-003  4.7660000000e+002  3.1525474529e-003  4.7540385029e+000  5.29696754e-002   
1.8362617747e-003  4.8099383402e+002  3.2510852392e-003  4.7917913202e+000  5.29696754e-002   
2.0603195981e-003  5.0537950358e+002  3.8377603441e-003  5.0005614549e+000  5.29696754e-002   
2.3117166108e-003  5.3109211881e+002  4.5323146535e-003  5.2191054481e+000  5.29696754e-002   
2.3469055171e-003  5.3475000000e+002  4.6342510295e-003  5.2500474067e+000  5.29696754e-002   
2.5937886985e-003  5.5812504662e+002  5.3548373187e-003  5.4520516912e+000  5.29696754e-002   
2.9102787862e-003  5.8648949188e+002  6.3270467755e-003  5.6959616694e+000  5.29696754e-002   
3.0676274759e-003  6.0000000000e+002  6.8296933427e-003  5.8117216334e+000  5.29696754e-002   
3.2653865053e-003  6.1652490993e+002  7.4792254290e-003  5.9526940145e+000  5.29696754e-002   
3.6638239194e-003  6.4835280474e+002  8.8485342728e-003  6.2233722581e+000  5.29696754e-002   
3.9912278163e-003  6.7321000000e+002  1.0031507364e-002  6.4339325036e+000  5.29696754e-002   
4.1108780509e-003  6.8184357061e+002  1.0472659796e-002  6.5088394337e+000  5.29696754e-002   
4.6124810365e-003  7.1663200928e+002  1.2389947875e-002  6.8098219531e+000  5.29696754e-002   
5.1752888430e-003  7.5318022023e+002  1.4664433236e-002  7.1248284103e+000  5.29696754e-002   
5.2047772594e-003  7.5536000000e+002  1.4793720681e-002  7.1435862721e+000  5.29696754e-002   
5.8067695882e-003  7.9201391187e+002  1.7373411373e-002  7.4628264123e+000  5.29696754e-002   
6.5153026379e-003  8.3271325021e+002  2.0589482607e-002  7.8165477828e+000  5.29696754e-002   
6.7823901974e-003  8.4752000000e+002  2.1854249748e-002  7.9450391925e+000  5.29696754e-002   
7.3102897951e-003  8.7589154101e+002  2.4425870274e-002  8.1909070222e+000  5.29696754e-002   
8.2022800564e-003  9.2167817123e+002  2.9005807404e-002  8.5868832983e+000  5.29696754e-002   
8.7994409032e-003  9.5094000000e+002  3.2229911395e-002  8.8395645719e+000  5.29696754e-002   
9.2031095906e-003  9.6936213250e+002  3.4443924598e-002  9.0057371370e+000  5.29696754e-002   
1.0326058798e-002  1.0184656194e+003  4.0882964712e-002  9.4488431374e+000  5.29696754e-002   
1.1502354287e-002  1.0670000000e+003  4.8100824948e-002  9.8878794965e+000  5.29696754e-002   
1.1586028531e-002  1.0702639012e+003  4.8624910259e-002  9.9183931220e+000  5.29696754e-002   
1.2999737824e-002  1.1232178742e+003  5.7891418168e-002  1.0415903543e+001  5.29696754e-002   
1.4585945740e-002  1.1792111669e+003  6.8973469074e-002  1.0943436915e+001  5.29696754e-002   
1.5111396423e-002  1.1972000000e+003  7.2799054050e-002  1.1113115726e+001  5.29696754e-002   
1.6365700293e-002  1.2387062264e+003  8.2206379422e-002  1.1505261118e+001  5.29696754e-002   
1.8362617747e-002  1.3016850826e+003  9.8024774956e-002  1.2101742777e+001  5.29696754e-002   
1.9742585433e-002  1.3432000000e+003  1.0951513265e-001  1.2495659996e+001  5.29696754e-002   
2.0603195981e-002  1.3684191757e+003  1.1690793695e-001  1.2735074586e+001  5.29696754e-002   
2.3117166108e-002  1.4389812820e+003  1.3970234900e-001  1.3408772481e+001  5.29696754e-002   
2.5697117774e-002  1.5071000000e+003  1.6533685800e-001  1.4068374711e+001  5.29696754e-002   
2.5937886985e-002  1.5133295730e+003  1.6781556275e-001  1.4128788043e+001  5.29696754e-002   
2.9102787862e-002  1.5924689022e+003  2.0184390999e-001  1.4899726970e+001  5.29696754e-002   
3.2653865053e-002  1.6766991374e+003  2.4283869985e-001  1.5723730275e+001  5.29696754e-002   
3.3264043290e-002  1.6910000000e+003  2.5038691115e-001  1.5865457887e+001  5.29696754e-002   
3.6638239194e-002  1.7665223896e+003  2.9349695601e-001  1.6616161033e+001  5.29696754e-002   
4.1108780509e-002  1.8616664581e+003  3.5589505994e-001  1.7575704053e+001  5.29696754e-002   
4.2842127417e-002  1.8974000000e+003  3.8162521825e-001  1.7939377348e+001  5.29696754e-002   
4.6124810365e-002  1.9608992882e+003  4.3168479521e-001  1.8613769307e+001  5.29696754e-002   
5.1752888430e-002  2.0644428915e+003  5.2556322768e-001  1.9737516555e+001  5.29696754e-002   
5.5419374691e-002  2.1289000000e+003  5.9192130181e-001  2.0450344867e+001  5.29696754e-002   
5.8067695882e-002  2.1732277777e+003  6.4150375571e-001  2.0957298044e+001  5.29696754e-002   
6.5153026379e-002  2.2866777982e+003  7.8540759105e-001  2.2285093276e+001  5.29696754e-002   
7.1827021351e-002  2.3886000000e+003  9.3493192018e-001  2.3505592506e+001  5.29696754e-002   
7.3102897951e-002  2.4078494218e+003  9.6483394323e-001  2.3736553856e+001  5.29696754e-002   
8.2022800564e-002  2.5370077463e+003  1.1897099587e+000  2.5326244808e+001  5.29696754e-002   
9.2031095906e-002  2.6735435927e+003  1.4737082724e+000  2.7067188756e+001  5.29696754e-002   
9.2481921700e-002  2.6801000000e+003  1.4879134987e+000  2.7153054339e+001  5.29696754e-002   
1.0326058798e-001  2.8199608683e+003  1.8375302722e+000  2.9018326523e+001  5.29696754e-002   
1.1586028531e-001  2.9693232455e+003  2.3019580829e+000  3.1176989609e+001  5.29696754e-002   
1.2010665272e-001  3.0071000000e+003  2.4773319082e+000  3.1910212266e+001  5.29696754e-002   
1.2999737824e-001  3.0935978331e+003  2.9078064505e+000  3.3631802069e+001  5.29696754e-002   
1.4585945740e-001  3.2263771471e+003  3.6770126779e+000  3.6410224993e+001  5.29696754e-002   
1.6365700293e-001  3.3720082797e+003  4.6578219483e+000  3.9536296304e+001  5.29696754e-002   
1.6383810649e-001  3.3740000000e+003  4.6688617094e+000  3.9574584285e+001  5.29696754e-002   
1.8362617747e-001  3.5403912381e+003  5.8961757272e+000  4.3096453871e+001  5.29696754e-002   
2.0603195981e-001  3.7294098507e+003  7.4446531343e+000  4.7073340542e+001  5.29696754e-002   
2.1311557212e-001  3.7857000000e+003  7.9671048255e+000  4.8331447415e+001  5.29696754e-002   
2.3117166108e-001  3.9218574148e+003  9.3578412413e+000  5.1566710166e+001  5.29696754e-002   
2.5937886985e-001  4.0223166052e+003  1.1680513736e+001  5.6541698130e+001  5.29696754e-002   
2.9102787862e-001  4.1009245392e+003  1.4565403262e+001  6.2072937692e+001  5.29696754e-002   
3.2653865053e-001  4.1848819633e+003  1.8116940317e+001  6.8217250548e+001  5.29696754e-002   
3.6448422391e-001  4.2477000000e+003  2.2210857821e+001  7.4684842674e+001  5.29696754e-002   
3.6638239194e-001  4.2506874473e+003  2.2424526290e+001  7.5006494129e+001  5.29696754e-002   
4.1108780509e-001  4.2881465830e+003  2.7647374909e+001  8.2458793299e+001  5.29696754e-002   
4.6124810365e-001  4.3368743335e+003  3.4077711513e+001  9.0658418772e+001  5.29696754e-002   
5.1752888430e-001  4.4433719764e+003  4.2605535877e+001  9.9797854206e+001  5.29696754e-002   
5.8067695882e-001  4.6146991916e+003  5.3996315137e+001  1.1008320187e+002  5.29696754e-002   
6.2151328763e-001  4.7660000000e+003  6.3223443417e+001  1.1683175822e+002  5.29696754e-002   
6.5153026379e-001  4.9391822028e+003  7.1153644285e+001  1.2253246513e+002  5.29696754e-002   
7.1533132375e-001  5.3475000000e+003  9.0472782480e+001  1.3493354462e+002  5.29696754e-002   
7.3102897951e-001  5.4872442943e+003  9.6018801443e+001  1.3850228636e+002  5.29696754e-002   
7.9228527430e-001  6.0000000000e+003  1.1930134231e+002  1.5214791255e+002  5.29696754e-002   
8.2022800564e-001  6.2338283051e+003  1.3086281248e+002  1.5831696857e+002  5.29696754e-002   
8.9428078903e-001  6.7321000000e+003  1.6339056717e+002  1.7426149588e+002  5.29696754e-002   
9.2031095906e-001  6.9199645160e+003  1.7582449400e+002  1.7990239716e+002  5.29696754e-002   
1.0243279321e+000  7.5536000000e+003  2.2887776440e+002  2.0225678372e+002  5.29696754e-002   
1.0326058798e+000  7.6148559560e+003  2.3356493359e+002  2.0418297008e+002  5.29696754e-002   
1.1586028531e+000  8.4176223089e+003  3.0906558531e+002  2.3324970274e+002  5.29696754e-002   
1.1699965014e+000  8.4752000000e+003  3.1619126568e+002  2.3583940649e+002  5.29696754e-002   
1.2999737824e+000  9.2894555416e+003  4.0605768787e+002  2.6796119359e+002  5.29696754e-002   
1.3375804518e+000  9.5094000000e+003  4.3381896258e+002  2.7721541197e+002  5.29696754e-002   
1.4585945740e+000  1.0263565017e+004  5.3097563670e+002  3.0796061810e+002  5.29696754e-002   
1.5331492003e+000  1.0670000000e+004  5.9445840871e+002  3.2691644477e+002  5.29696754e-002   
1.6365700293e+000  1.1266218916e+004  6.8958405789e+002  3.5393660990e+002  5.29696754e-002   
1.7768273536e+000  1.1972000000e+004  8.2677346995e+002  3.9079748866e+002  5.29696754e-002   
1.8362617747e+000  1.2315875403e+004  8.8968150354e+002  4.0732116572e+002  5.29696754e-002   
2.0409276527e+000  1.3432000000e+004  1.1204789456e+003  4.6445763146e+002  5.29696754e-002   
2.0603195981e+000  1.3544516650e+004  1.1437779663e+003  4.6991645802e+002  5.29696754e-002   
2.3117166108e+000  1.4907804555e+004  1.4629663871e+003  5.4059802858e+002  5.29696754e-002   
2.3431794722e+000  1.5071000000e+004  1.5052256900e+003  5.4945989026e+002  5.29696754e-002   
2.5937886985e+000  1.6233390450e+004  1.8632550690e+003  6.1979191794e+002  5.29696754e-002   
2.7563925556e+000  1.6910000000e+004  2.1114848923e+003  6.6524281047e+002  5.29696754e-002   
2.9102787862e+000  1.7565323928e+004  2.3599090813e+003  7.0815364282e+002  5.29696754e-002   
3.2404093052e+000  1.8974000000e+004  2.9346926149e+003  7.9953129160e+002  5.29696754e-002   
3.2653865053e+000  1.9082187395e+004  2.9810445270e+003  8.0660115039e+002  5.29696754e-002   
3.6638239194e+000  2.0667020965e+004  3.7588551365e+003  9.1849203909e+002  5.29696754e-002   
3.8428365472e+000  2.1289000000e+004  4.1314761392e+003  9.6828697939e+002  5.29696754e-002   
4.1108780509e+000  2.2228300508e+004  4.7243077078e+003  1.0439642789e+003  5.29696754e-002   
