# T1bar = 165 K, He mass abu = 0.238, H mass abu = 0.762, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.6655840785e-004  1.6500000000e+002  1.0000000000e-004  2.1000055837e+000  5.26123871e-002   
1.7614741758e-004  1.6910000000e+002  1.0839146410e-004  2.1336876219e+000  5.26123871e-002   
1.8362617747e-004  1.7222859605e+002  1.1508870455e-004  2.1592609534e+000  5.26123871e-002   
2.0603195981e-004  1.8128119810e+002  1.3593603658e-004  2.2323658463e+000  5.26123871e-002   
2.2792791660e-004  1.8974000000e+002  1.5742022980e-004  2.2995556130e+000  5.26123871e-002   
2.3117166108e-004  1.9088153507e+002  1.6062401327e-004  2.3093619729e+000  5.26123871e-002   
2.5937886985e-004  2.0044371538e+002  1.8928601851e-004  2.3909292853e+000  5.26123871e-002   
2.9102787862e-004  2.1058568464e+002  2.2317440262e-004  2.4762229150e+000  5.26123871e-002   
2.9829526876e-004  2.1289000000e+002  2.3126164340e-004  2.4954348386e+000  5.26123871e-002   
3.2653865053e-004  2.2097378869e+002  2.6281276381e-004  2.5670250706e+000  5.26123871e-002   
3.6638239194e-004  2.3183523878e+002  3.0945138740e-004  2.6620932977e+000  5.26123871e-002   
3.9339316464e-004  2.3886000000e+002  3.4239210802e-004  2.7230012779e+000  5.26123871e-002   
4.1108780509e-004  2.4334060684e+002  3.6454216707e-004  2.7616677312e+000  5.26123871e-002   
4.6124810365e-004  2.5554699706e+002  4.2967216248e-004  2.8661284393e+000  5.26123871e-002   
5.1523746685e-004  2.6801000000e+002  5.0354766626e-004  2.9714772372e+000  5.26123871e-002   
5.1752888430e-004  2.6852666904e+002  5.0676960711e-004  2.9758335505e+000  5.26123871e-002   
5.8067695882e-004  2.8225064392e+002  5.9792125278e-004  3.0909149253e+000  5.26123871e-002   
6.5153026379e-004  2.9677825075e+002  7.0577218320e-004  3.2115477334e+000  5.26123871e-002   
6.7112115466e-004  3.0071000000e+002  7.3673425809e-004  3.2439627768e+000  5.26123871e-002   
7.3102897951e-004  3.1143872900e+002  8.3143629432e-004  3.3398009799e+000  5.26123871e-002   
8.2022800564e-004  3.2663167785e+002  9.7893830584e-004  3.4743887170e+000  5.26123871e-002   
