# T1bar = 140 K, He mass abu = 0.18, H mass abu = 0.82, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.4090566571e-002  8.8341486793e+002  5.1817402783e-002  8.6934237751e+000  5.03991658e-002   
1.5809875724e-002  9.3099258993e+002  6.2040272587e-002  9.1310145935e+000  5.03991658e-002   
1.6555677244e-002  9.5094000000e+002  6.6693589802e-002  9.3144796400e+000  5.03991658e-002   
1.7738972323e-002  9.8042920159e+002  7.4216153047e-002  9.5978070997e+000  5.03991658e-002   
1.9903454307e-002  1.0321627800e+003  8.8729005218e-002  1.0095284411e+001  5.03991658e-002   
2.1432063423e-002  1.0670000000e+003  9.9675556659e-002  1.0431938260e+001  5.03991658e-002   
2.2332043037e-002  1.0863637496e+003  1.0626859151e-001  1.0625291034e+001  5.03991658e-002   
2.5056964409e-002  1.1424101476e+003  1.2782586821e-001  1.1191553134e+001  5.03991658e-002   
2.7851549430e-002  1.1972000000e+003  1.5169491312e-001  1.1748217465e+001  5.03991658e-002   
2.8114376476e-002  1.2022546164e+003  1.5402427877e-001  1.1799676473e+001  5.03991658e-002   
3.1544849237e-002  1.2662193175e+003  1.8567116624e-001  1.2452428034e+001  5.03991658e-002   
3.5393902982e-002  1.3337713492e+003  2.2487765816e-001  1.3152701762e+001  5.03991658e-002   
3.5928561210e-002  1.3432000000e+003  2.3073376158e-001  1.3251443932e+001  5.03991658e-002   
3.9712612316e-002  1.4065461280e+003  2.7359594487e-001  1.3917053836e+001  5.03991658e-002   
4.4558283887e-002  1.4842943289e+003  3.3346069052e-001  1.4742288203e+001  5.03991658e-002   
4.6027738430e-002  1.5071000000e+003  3.5313012354e-001  1.4989134237e+001  5.03991658e-002   
4.9995216813e-002  1.5674184738e+003  4.0862111687e-001  1.5643751749e+001  5.03991658e-002   
5.6095555891e-002  1.6567864803e+003  5.0229546617e-001  1.6629218751e+001  5.03991658e-002   
5.8529550017e-002  1.6910000000e+003  5.4316999368e-001  1.7016941984e+001  5.03991658e-002   
6.2940248914e-002  1.7522352129e+003  6.2102059736e-001  1.7712868884e+001  5.03991658e-002   
7.0620120800e-002  1.8552931920e+003  7.7062940653e-001  1.8910293503e+001  5.03991658e-002   
7.3872394307e-002  1.8974000000e+003  8.3993392470e-001  1.9413030418e+001  5.03991658e-002   
7.9237078783e-002  1.9637824858e+003  9.5932970054e-001  2.0236623930e+001  5.03991658e-002   
8.8905464659e-002  2.0784666604e+003  1.2001042527e+000  2.1711674597e+001  5.03991658e-002   
9.3372817853e-002  2.1289000000e+003  1.3237685832e+000  2.2390940387e+001  5.03991658e-002   
9.9753572036e-002  2.1988165371e+003  1.5096067399e+000  2.3358832458e+001  5.03991658e-002   
1.1192534871e-001  2.3202960392e+003  1.9076255636e+000  2.5210945298e+001  5.03991658e-002   
1.2290734998e-001  2.3886000000e+003  2.3209733557e+000  2.6898731969e+001  5.03991658e-002   
1.2558230675e-001  2.4061356632e+003  2.4288389408e+000  2.7314984872e+001  5.03991658e-002   
1.4090566571e-001  2.5073550014e+003  3.1052057842e+000  2.9729943048e+001  5.03991658e-002   
1.5809875724e-001  2.6330823580e+003  3.9906999800e+000  3.2514002140e+001  5.03991658e-002   
1.6395588491e-001  2.6801000000e+003  4.3230338316e+000  3.3482229959e+001  5.03991658e-002   
1.7738972323e-001  2.7952594122e+003  5.1445878695e+000  3.5734046618e+001  5.03991658e-002   
1.9903454307e-001  3.0016569655e+003  6.6450391562e+000  3.9421011232e+001  5.03991658e-002   
1.9958098032e-001  3.0071000000e+003  6.6860314215e+000  3.9517042705e+001  5.03991658e-002   
2.2332043037e-001  3.1932286055e+003  8.4864362476e+000  4.3634325473e+001  5.03991658e-002   
2.5056964409e-001  3.3052162786e+003  1.0822982550e+001  4.8355303092e+001  5.03991658e-002   
2.7036369195e-001  3.3740000000e+003  1.2697582920e+001  5.1822000360e+001  5.03991658e-002   
