# T1bar = 165 K, He mass abu = 0.275, H mass abu = 0.725, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.2357270392e-002  1.0670000000e+003  5.0809882831e-002  9.5697109228e+000  5.26913650e-002   
1.3297979740e-002  1.1007986724e+003  5.6802229390e-002  9.8770722408e+000  5.26913650e-002   
1.4920578674e-002  1.1564292432e+003  6.7711834763e-002  1.0384180250e+001  5.26913650e-002   
1.6169367617e-002  1.1972000000e+003  7.6555263995e-002  1.0756453252e+001  5.26913650e-002   
1.6741164621e-002  1.2153794819e+003  8.0732892380e-002  1.0922699276e+001  5.26913650e-002   
1.8783895651e-002  1.2778039856e+003  9.6310262128e-002  1.1494829679e+001  5.26913650e-002   
2.1044988388e-002  1.3432000000e+003  1.1466485793e-001  1.2095522206e+001  5.26913650e-002   
2.1075877564e-002  1.3440744896e+003  1.1492378644e-001  1.2103558240e+001  5.26913650e-002   
2.3647523567e-002  1.4141739564e+003  1.3740332069e-001  1.2751220656e+001  5.26913650e-002   
2.6532957841e-002  1.4878864187e+003  1.6509839549e-001  1.3441824117e+001  5.26913650e-002   
2.7301861764e-002  1.5071000000e+003  1.7287136643e-001  1.3622595103e+001  5.26913650e-002   
2.9770468345e-002  1.5667782427e+003  1.9868392326e-001  1.4185208655e+001  5.26913650e-002   
3.3403014876e-002  1.6509266508e+003  2.3919517214e-001  1.4981503887e+001  5.26913650e-002   
3.5215202378e-002  1.6910000000e+003  2.6093339945e-001  1.5366277086e+001  5.26913650e-002   
3.7478799120e-002  1.7399792122e+003  2.8914221311e-001  1.5837423869e+001  5.26913650e-002   
4.2051904258e-002  1.8348275024e+003  3.5076927006e-001  1.6762455549e+001  5.26913650e-002   
4.5191235660e-002  1.8974000000e+003  3.9623448046e-001  1.7378715128e+001  5.26913650e-002   
4.7183012616e-002  1.9348146526e+003  4.2589304156e-001  1.7762785815e+001  5.26913650e-002   
5.2940210885e-002  2.0381810158e+003  5.1867654159e-001  1.8846068090e+001  5.26913650e-002   
5.8243831721e-002  2.1289000000e+003  6.1251194822e-001  1.9815887101e+001  5.26913650e-002   
5.9399893587e-002  2.1477838898e+003  6.3368116111e-001  2.0024479867e+001  5.26913650e-002   
6.6647776789e-002  2.2612863163e+003  7.7615334029e-001  2.1306580594e+001  5.26913650e-002   
7.4780035495e-002  2.3818295082e+003  9.5345928382e-001  2.2700339316e+001  5.26913650e-002   
7.5205464853e-002  2.3886000000e+003  9.6360565686e-001  2.2779536441e+001  5.26913650e-002   
8.3904579839e-002  2.5122189598e+003  1.1763513499e+000  2.4246169991e+001  5.26913650e-002   
9.4142486980e-002  2.6497426637e+003  1.4578750149e+000  2.5935969402e+001  5.26913650e-002   
9.6501647719e-002  2.6801000000e+003  1.5290518570e+000  2.6326341811e+001  5.26913650e-002   
1.0562960773e-001  2.7958659774e+003  1.8183701229e+000  2.7816468846e+001  5.26913650e-002   
1.1851836919e-001  2.9470823516e+003  2.2784401568e+000  2.9908035149e+001  5.26913650e-002   
1.2531957678e-001  3.0071000000e+003  2.5526734770e+000  3.1014440084e+001  5.26913650e-002   
1.3297979740e-001  3.0740322548e+003  2.8784469133e+000  3.2277637396e+001  5.26913650e-002   
1.4920578674e-001  3.2089247010e+003  3.6399086618e+000  3.4966653637e+001  5.26913650e-002   
1.6741164621e-001  3.3563931220e+003  4.6133142773e+000  3.7998709693e+001  5.26913650e-002   
1.6949227621e-001  3.3740000000e+003  4.7326350164e+000  3.8354714341e+001  5.26913650e-002   
1.8783895651e-001  3.5255975247e+003  5.8429883309e+000  4.1441608017e+001  5.26913650e-002   
2.1075877564e-001  3.7162868188e+003  7.3824455035e+000  4.5298146939e+001  5.26913650e-002   
2.1954881912e-001  3.7857000000e+003  8.0147092083e+000  4.6775150733e+001  5.26913650e-002   
2.3647523567e-001  3.9126435291e+003  9.2866976225e+000  4.9651538442e+001  5.26913650e-002   
2.6532957841e-001  4.0205296718e+003  1.1598003413e+001  5.4482418950e+001  5.26913650e-002   
2.9770468345e-001  4.1021267469e+003  1.4472049145e+001  5.9854017007e+001  5.26913650e-002   
3.3403014876e-001  4.1887542756e+003  1.8013618916e+001  6.5824349639e+001  5.26913650e-002   
3.6785944230e-001  4.2477000000e+003  2.1556322652e+001  7.1314692858e+001  5.26913650e-002   
3.7478799120e-001  4.2591898346e+003  2.2313610496e+001  7.2433936553e+001  5.26913650e-002   
4.2051904258e-001  4.3011424216e+003  2.7526070837e+001  7.9689544150e+001  5.26913650e-002   
4.7183012616e-001  4.3552557473e+003  3.3944232463e+001  8.7677825966e+001  5.26913650e-002   
5.2940210885e-001  4.4677795657e+003  4.2473567623e+001  9.6584681521e+001  5.26913650e-002   
5.9399893587e-001  4.6452974327e+003  5.3891253248e+001  1.0660972074e+002  5.26913650e-002   
6.2739456058e-001  4.7660000000e+003  6.1174025309e+001  1.1185712579e+002  5.26913650e-002   
6.6647776789e-001  4.9846781786e+003  7.1128678971e+001  1.1888467193e+002  5.26913650e-002   
7.2481626959e-001  5.3475000000e+003  8.8182592306e+001  1.2962334795e+002  5.26913650e-002   
7.4780035495e-001  5.5456632624e+003  9.6010885923e+001  1.3455194000e+002  5.26913650e-002   
8.0352779518e-001  6.0000000000e+003  1.1644730965e+002  1.4628150055e+002  5.26913650e-002   
8.3904579839e-001  6.2888476091e+003  1.3063048625e+002  1.5369828801e+002  5.26913650e-002   
9.0704702945e-001  6.7321000000e+003  1.5944885155e+002  1.6756259388e+002  5.26913650e-002   
9.4142486980e-001  6.9736588794e+003  1.7530533062e+002  1.7462319898e+002  5.26913650e-002   
1.0395319371e+000  7.5536000000e+003  2.2365253658e+002  1.9462480871e+002  5.26913650e-002   
1.0562960773e+000  7.6737502263e+003  2.3281970581e+002  1.9832425856e+002  5.26913650e-002   
1.1851836919e+000  8.4718190065e+003  3.0782011348e+002  2.2650804874e+002  5.26913650e-002   
1.1868943290e+000  8.4752000000e+003  3.0879602277e+002  2.2681483274e+002  5.26913650e-002   
1.3297979740e+000  9.3520527020e+003  4.0439051664e+002  2.6033872561e+002  5.26913650e-002   
1.3573227904e+000  9.5094000000e+003  4.2404457702e+002  2.6675958277e+002  5.26913650e-002   
