# T1bar = 170 K, He mass abu = 0.275, H mass abu = 0.725, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.3297979740e-003  4.1781581522e+002  1.9948056876e-003  4.1141910524e+000  5.30388831e-002   
1.3807349981e-003  4.2477000000e+002  2.1065287729e-003  4.1711705055e+000  5.30388831e-002   
1.4920578674e-003  4.3947415156e+002  2.3571479878e-003  4.2912739225e+000  5.30388831e-002   
1.6741164621e-003  4.6243248890e+002  2.7864978684e-003  4.4775983440e+000  5.30388831e-002   
1.7917357254e-003  4.7660000000e+002  3.0760583708e-003  4.5919047880e+000  5.30388831e-002   
1.8783895651e-003  4.8644458591e+002  3.2931594903e-003  4.6738296633e+000  5.30388831e-002   
2.1075877564e-003  5.1141085981e+002  3.8897234714e-003  4.8807114873e+000  5.30388831e-002   
2.3335387504e-003  5.3475000000e+002  4.5096095834e-003  5.0727987911e+000  5.30388831e-002   
2.3647523567e-003  5.3783100733e+002  4.5970713199e-003  5.0986835752e+000  5.30388831e-002   
2.6532957841e-003  5.6526451041e+002  5.4317515704e-003  5.3282593352e+000  5.30388831e-002   
2.9770468345e-003  5.9420493310e+002  6.4201111854e-003  5.5691901041e+000  5.30388831e-002   
3.0425506478e-003  6.0000000000e+002  6.6281266980e-003  5.6172942397e+000  5.30388831e-002   
3.3403014876e-003  6.2513685240e+002  7.5952032845e-003  5.8249560364e+000  5.30388831e-002   
3.7478799120e-003  6.5778327418e+002  8.9907094039e-003  6.0936656512e+000  5.30388831e-002   
3.9486841326e-003  6.7321000000e+002  9.7078291248e-003  6.2202317656e+000  5.30388831e-002   
4.2051904258e-003  6.9189475944e+002  1.0642353444e-002  6.3772074961e+000  5.30388831e-002   
4.7183012616e-003  7.2764912335e+002  1.2598197494e-002  6.6765989626e+000  5.30388831e-002   
5.1367350903e-003  7.5536000000e+002  1.4275995238e-002  6.9078967676e+000  5.30388831e-002   
5.2940210885e-003  7.6537800065e+002  1.4922228548e-002  6.9924837353e+000  5.30388831e-002   
5.9399893587e-003  8.0490439362e+002  1.7679670819e-002  7.3257677982e+000  5.30388831e-002   
6.6647776789e-003  8.4637880475e+002  2.0954641102e-002  7.6747337894e+000  5.30388831e-002   
6.6781453978e-003  8.4752000000e+002  2.1026848931e-002  7.6843153798e+000  5.30388831e-002   
7.4780035495e-003  8.9114814101e+002  2.4882634257e-002  8.0505210876e+000  5.30388831e-002   
8.3904579839e-003  9.3812352049e+002  2.9558657598e-002  8.4438914493e+000  5.30388831e-002   
8.6457540081e-003  9.5094000000e+002  3.0924523758e-002  8.5510940339e+000  5.30388831e-002   
9.4142486980e-003  9.8654339165e+002  3.5091555873e-002  8.8620240552e+000  5.30388831e-002   
1.0562960773e-002  1.0371127842e+003  4.1671088930e-002  9.3038080487e+000  5.30388831e-002   
1.1275884913e-002  1.0670000000e+003  4.5989310819e-002  9.5655686013e+000  5.30388831e-002   
1.1851836919e-002  1.0897355465e+003  4.9547892242e-002  9.7712937163e+000  5.30388831e-002   
1.3297979740e-002  1.1442410894e+003  5.9009894240e-002  1.0267052210e+001  5.30388831e-002   
1.4783004362e-002  1.1972000000e+003  6.9344706324e-002  1.0750033914e+001  5.30388831e-002   
1.4920578674e-002  1.2019908020e+003  7.0332775092e-002  1.0793789196e+001  5.30388831e-002   
1.6741164621e-002  1.2631397173e+003  8.3843417053e-002  1.1352937309e+001  5.30388831e-002   
1.8783895651e-002  1.3277883572e+003  9.9994602131e-002  1.1945836632e+001  5.30388831e-002   
1.9280597687e-002  1.3432000000e+003  1.0408925243e-001  1.2087342504e+001  5.30388831e-002   
2.1075877564e-002  1.3967410573e+003  1.1931368640e-001  1.2579306570e+001  5.30388831e-002   
2.3647523567e-002  1.4695096197e+003  1.4262379767e-001  1.3252042720e+001  5.30388831e-002   
2.5046297732e-002  1.5071000000e+003  1.5629428951e-001  1.3604232126e+001  5.30388831e-002   
2.6532957841e-002  1.5460930264e+003  1.7134463323e-001  1.3970168066e+001  5.30388831e-002   
2.9770468345e-002  1.6277511778e+003  2.0612248386e-001  1.4740380475e+001  5.30388831e-002   
3.2388892596e-002  1.6910000000e+003  2.3605794603e-001  1.5339200842e+001  5.30388831e-002   
3.3403014876e-002  1.7149656603e+003  2.4807355647e-001  1.5566427504e+001  5.30388831e-002   
3.7478799120e-002  1.8072108654e+003  2.9976319836e-001  1.6453944136e+001  5.30388831e-002   
4.1672121001e-002  1.8974000000e+003  3.5799837099e-001  1.7334378690e+001  5.30388831e-002   
4.2051904258e-002  1.9051092730e+003  3.6342100162e-001  1.7412890229e+001  5.30388831e-002   
4.7183012616e-002  2.0058159097e+003  4.4037259917e-001  1.8447257783e+001  5.30388831e-002   
5.2940210885e-002  2.1120009497e+003  5.3591712130e-001  1.9563006162e+001  5.30388831e-002   
5.3863538602e-002  2.1289000000e+003  5.5234385471e-001  1.9743318140e+001  5.30388831e-002   
5.9399893587e-002  2.2228580387e+003  6.5367574320e-001  2.0782398329e+001  5.30388831e-002   
6.6647776789e-002  2.3395776932e+003  8.0008871091e-001  2.2104612323e+001  5.30388831e-002   
6.9814383779e-002  2.3886000000e+003  8.6911794283e-001  2.2671600186e+001  5.30388831e-002   
7.4780035495e-002  2.4642550453e+003  9.8236799244e-001  2.3548759639e+001  5.30388831e-002   
8.3904579839e-002  2.5974174821e+003  1.2105108904e+000  2.5131749964e+001  5.30388831e-002   
8.9870096490e-002  2.6801000000e+003  1.3751298229e+000  2.6149256439e+001  5.30388831e-002   
9.4142486980e-002  2.7386619313e+003  1.4989719730e+000  2.6872795031e+001  5.30388831e-002   
1.0562960773e-001  2.8883573216e+003  1.8669888559e+000  2.8800824222e+001  5.30388831e-002   
1.1557836137e-001  3.0071000000e+003  2.2255153353e+000  3.0458205815e+001  5.30388831e-002   
1.1851836919e-001  3.0409794691e+003  2.3367373270e+000  3.0953675851e+001  5.30388831e-002   
1.3297979740e-001  3.1686108015e+003  2.9454237008e+000  3.3385131443e+001  5.30388831e-002   
1.4920578674e-001  3.3056112771e+003  3.7183359196e+000  3.6128502075e+001  5.30388831e-002   
1.5753170755e-001  3.3740000000e+003  4.1554323810e+000  3.7542598412e+001  5.30388831e-002   
1.6741164621e-001  3.4561419357e+003  4.7045517144e+000  3.9225307929e+001  5.30388831e-002   
1.8783895651e-001  3.6267144947e+003  5.9469024308e+000  4.2714886525e+001  5.30388831e-002   
2.0672835176e-001  3.7857000000e+003  7.2154877868e+000  4.5941847803e+001  5.30388831e-002   
2.1075877564e-001  3.8177090376e+003  7.4986329351e+000  4.6641274497e+001  5.30388831e-002   
2.3647523567e-001  4.0123948132e+003  9.4107864756e+000  5.1068378003e+001  5.30388831e-002   
2.6532957841e-001  4.1153295306e+003  1.1723575160e+001  5.5950665815e+001  5.30388831e-002   
2.9770468345e-001  4.1933885298e+003  1.4592411063e+001  6.1359988113e+001  5.30388831e-002   
3.2107506730e-001  4.2477000000e+003  1.6829307875e+001  6.5243716880e+001  5.30388831e-002   
3.3403014876e-001  4.2756011880e+003  1.8122707738e+001  6.7390366868e+001  5.30388831e-002   
3.7478799120e-001  4.3412010648e+003  2.2407499344e+001  7.4039457341e+001  5.30388831e-002   
4.2051904258e-001  4.3856696871e+003  2.7611269945e+001  8.1322460838e+001  5.30388831e-002   
4.7183012616e-001  4.4435198175e+003  3.4014003948e+001  8.9336564609e+001  5.30388831e-002   
5.2940210885e-001  4.5681526638e+003  4.2646950524e+001  9.8277657223e+001  5.30388831e-002   
5.9399893587e-001  4.7617888773e+003  5.4243547593e+001  1.0831885926e+002  5.30388831e-002   
5.9533937770e-001  4.7660000000e+003  5.4525147849e+001  1.0852148041e+002  5.30388831e-002   
6.6647776789e-001  5.1557831938e+003  7.2108402567e+001  1.2123722720e+002  5.30388831e-002   
6.9789296921e-001  5.3475000000e+003  8.1069459725e+001  1.2697928352e+002  5.30388831e-002   
7.4780035495e-001  5.7667927042e+003  9.7643326828e+001  1.3752227741e+002  5.30388831e-002   
7.7701941860e-001  6.0000000000e+003  1.0811745254e+002  1.4360217430e+002  5.30388831e-002   
8.3904579839e-001  6.4951348696e+003  1.3236685895e+002  1.5642561848e+002  5.30388831e-002   
8.7615110785e-001  6.7321000000e+003  1.4774119499e+002  1.6393268185e+002  5.30388831e-002   
9.4142486980e-001  7.1817951293e+003  1.7720883581e+002  1.7723033882e+002  5.30388831e-002   
1.0055104351e+000  7.5536000000e+003  2.0813431849e+002  1.9022069056e+002  5.30388831e-002   
1.0562960773e+000  7.9123552450e+003  2.3536231574e+002  2.0135847880e+002  5.30388831e-002   
1.1485276732e+000  8.4752000000e+003  2.8801739625e+002  2.2142770854e+002  5.30388831e-002   
1.1851836919e+000  8.7389581885e+003  3.1109774426e+002  2.3006194571e+002  5.30388831e-002   
1.3119971134e+000  9.5094000000e+003  3.9527496541e+002  2.5964357208e+002  5.30388831e-002   
1.3297979740e+000  9.6236895743e+003  4.0810043026e+002  2.6392367092e+002  5.30388831e-002   
1.4920578674e+000  1.0616534519e+004  5.3310406212e+002  3.0302261752e+002  5.30388831e-002   
1.5023830976e+000  1.0670000000e+004  5.4144141929e+002  3.0549729603e+002  5.30388831e-002   
1.6741164621e+000  1.1647332048e+004  6.9205365902e+002  3.4823198032e+002  5.30388831e-002   
1.7395406630e+000  1.1972000000e+004  7.5299552510e+002  3.6460422358e+002  5.30388831e-002   
1.8783895651e+000  1.2763488929e+004  8.9311329701e+002  4.0135218124e+002  5.30388831e-002   
2.0022136137e+000  1.3432000000e+004  1.0263362858e+003  4.3429571145e+002  5.30388831e-002   
2.1075877564e+000  1.4037022812e+004  1.1472657168e+003  4.6256094766e+002  5.30388831e-002   
2.2979694025e+000  1.5071000000e+004  1.3797739554e+003  5.1365588686e+002  5.30388831e-002   
2.3647523567e+000  1.5401566617e+004  1.4665318958e+003  5.3154233024e+002  5.30388831e-002   
2.6532957841e+000  1.6737829646e+004  1.8662674249e+003  6.0860029426e+002  5.30388831e-002   
2.6945692288e+000  1.6910000000e+004  1.9264397025e+003  6.1961697973e+002  5.30388831e-002   
2.9770468345e+000  1.8105982867e+004  2.3621819747e+003  6.9468447900e+002  5.30388831e-002   
3.1830521505e+000  1.8974000000e+004  2.7051034093e+003  7.4904442434e+002  5.30388831e-002   
3.3403014876e+000  1.9645241255e+004  2.9844134350e+003  7.9147454976e+002  5.30388831e-002   
3.7478799120e+000  2.1255535919e+004  3.7605597929e+003  9.0026464869e+002  5.30388831e-002   
3.7567220903e+000  2.1289000000e+004  3.7782561122e+003  9.0265263467e+002  5.30388831e-002   
4.2051904258e+000  2.2852493012e+004  4.7275979249e+003  1.0235160679e+003  5.30388831e-002   
4.5012093539e+000  2.3886000000e+004  5.4062336599e+003  1.1022645898e+003  5.30388831e-002   
4.7183012616e+000  2.4643291232e+004  5.9293929461e+003  1.1594415317e+003  5.30388831e-002   
5.2940210885e+000  2.6358296595e+004  7.4047559763e+003  1.3092403892e+003  5.30388831e-002   
5.4495421527e+000  2.6801000000e+004  7.8264753010e+003  1.3492339482e+003  5.30388831e-002   
5.9399893587e+000  2.8190186744e+004  9.2229808590e+003  1.4741274487e+003  5.30388831e-002   
6.6474482614e+000  3.0071000000e+004  1.1390293245e+004  1.6505598284e+003  5.30388831e-002   
6.6647776789e+000  3.0131080545e+004  1.1448127236e+004  1.6553248144e+003  5.30388831e-002   
7.4780035495e+000  3.2883796659e+004  1.4295569354e+004  1.8758460403e+003  5.30388831e-002   
7.7344562905e+000  3.3740000000e+004  1.5248633116e+004  1.9442036337e+003  5.30388831e-002   
8.3904579839e+000  3.5911478576e+004  1.7802901521e+004  2.1164121725e+003  5.30388831e-002   
8.9816221085e+000  3.7857000000e+004  2.0245661701e+004  2.2683685642e+003  5.30388831e-002   
9.4142486980e+000  3.9271884487e+004  2.2114723489e+004  2.3776016277e+003  5.30388831e-002   
1.0402615315e+001  4.2477000000e+004  2.6637346401e+004  2.6209340204e+003  5.30388831e-002   
1.0562960773e+001  4.2992775189e+004  2.7402980255e+004  2.6596328403e+003  5.30388831e-002   
1.1851836919e+001  4.5998098519e+004  3.3832428501e+004  2.9665748590e+003  5.30388831e-002   
1.2632660871e+001  4.7660000000e+004  3.7994640639e+004  3.1483017641e+003  5.30388831e-002   
1.3297979740e+001  4.9143717433e+004  4.1742955495e+004  3.3055766723e+003  5.30388831e-002   
1.4920578674e+001  5.2650726784e+004  5.1483977615e+004  3.6802759574e+003  5.30388831e-002   
1.5318310878e+001  5.3475000000e+004  5.3997410978e+004  3.7703512281e+003  5.30388831e-002   
1.6741164621e+001  5.6496846681e+004  6.3469325089e+004  4.0944749353e+003  5.30388831e-002   
1.8590987766e+001  6.0000000000e+004  7.6681105454e+004  4.5044637466e+003  5.30388831e-002   
1.8783895651e+001  6.0373331322e+004  7.8123904543e+004  4.5470708808e+003  5.30388831e-002   
2.1075877564e+001  6.4447184104e+004  9.6085147257e+004  5.0443699899e+003  5.30388831e-002   
2.2772555683e+001  6.7321000000e+004  1.1034397613e+005  5.4025874000e+003  5.30388831e-002   
2.3647523567e+001  6.8779864277e+004  1.1801851501e+005  5.5848870802e+003  5.30388831e-002   
2.6532957841e+001  7.3139935207e+004  1.4481823951e+005  6.1734985371e+003  5.30388831e-002   
2.8206977043e+001  7.5536000000e+004  1.6137751306e+005  6.5064788810e+003  5.30388831e-002   
2.9770468345e+001  7.8341237984e+004  1.7781982774e+005  6.8288808626e+003  5.30388831e-002   
3.3403014876e+001  8.4696844859e+004  2.1842875015e+005  7.5586465054e+003  5.30388831e-002   
3.3423090046e+001  8.4752000000e+004  2.1866911476e+005  7.5629213632e+003  5.30388831e-002   
3.7478799120e+001  9.1383468033e+004  2.6795784690e+005  8.3496633406e+003  5.30388831e-002   
4.2051904258e+001  9.8086456026e+004  3.2829121330e+005  9.2054646380e+003  5.30388831e-002   
