# T1bar = 170 K, He mass abu = 0.275, H mass abu = 0.725, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.6509010040e-004  1.7000000000e+002  1.0000000000e-004  2.0594311082e+000  5.30388831e-002   
1.6741164621e-004  1.7106405869e+002  1.0204240318e-004  2.0678757605e+000  5.30388831e-002   
1.8783895651e-004  1.8011606377e+002  1.2056583436e-004  2.1390050050e+000  5.30388831e-002   
2.1059377677e-004  1.8974000000e+002  1.4241243478e-004  2.2133039214e+000  5.30388831e-002   
2.1075877564e-004  1.8980390720e+002  1.4257214408e-004  2.2138363148e+000  5.30388831e-002   
2.3647523567e-004  1.9941177310e+002  1.6809104065e-004  2.2933393167e+000  5.30388831e-002   
2.6532957841e-004  2.0961203156e+002  1.9828624888e-004  2.3766307636e+000  5.30388831e-002   
2.7485458949e-004  2.1289000000e+002  2.0863005017e-004  2.4031527923e+000  5.30388831e-002   
2.9770468345e-004  2.2008366202e+002  2.3364157047e-004  2.4648901971e+000  5.30388831e-002   
3.3403014876e-004  2.3099603491e+002  2.7520544438e-004  2.5576060769e+000  5.30388831e-002   
3.6148017644e-004  2.3886000000e+002  3.0801381161e-004  2.6237036501e+000  5.30388831e-002   
3.7478799120e-004  2.4257511284e+002  3.2434511708e-004  2.6547842064e+000  5.30388831e-002   
4.2051904258e-004  2.5485399134e+002  3.8244743864e-004  2.7567378761e+000  5.30388831e-002   
4.7183012616e-004  2.6775941884e+002  4.5098522066e-004  2.8626459767e+000  5.30388831e-002   
4.7224425842e-004  2.6801000000e+002  4.5180516705e-004  2.8646919570e+000  5.30388831e-002   
5.2940210885e-004  2.8174157132e+002  5.3264034616e-004  2.9763317309e+000  5.30388831e-002   
5.9399893587e-004  2.9641397442e+002  6.2903140503e-004  3.0943071388e+000  5.30388831e-002   
6.1342399419e-004  3.0071000000e+002  6.5911323287e-004  3.1286613839e+000  5.30388831e-002   
6.6647776789e-004  3.1122811159e+002  7.4141223055e-004  3.2196164465e+000  5.30388831e-002   
7.4780035495e-004  3.2655533899e+002  8.7328336194e-004  3.3512630413e+000  5.30388831e-002   
8.0825720990e-004  3.3740000000e+002  9.7559870757e-004  3.4436653146e+000  5.30388831e-002   
8.3904579839e-004  3.4277300508e+002  1.0290779276e-003  3.4892873767e+000  5.30388831e-002   
9.4142486980e-004  3.5997674136e+002  1.2133647796e-003  3.6341145758e+000  5.30388831e-002   
1.0562960773e-003  3.7799817291e+002  1.4305913253e-003  3.7847448469e+000  5.30388831e-002   
1.0587957342e-003  3.7857000000e+002  1.4361730977e-003  3.7895171382e+000  5.30388831e-002   
1.1851836919e-003  3.9742579683e+002  1.6891338926e-003  3.9462444855e+000  5.30388831e-002   
